Nome;Squadra;Ruolo;Media_Voto;Fantamedia;Quotazione;Partite_Voto
Cambiaso;Juventus;Difensore;6.18;6.38;14.0;20
Cancellieri;Parma;Attaccante;5.8;6.18;10.0;20
Cand̬;Venezia;Difensore;5.5;5.5;2.0;2
Candela;Venezia;Difensore;5.46;5.25;;14
Caprari;Monza;Attaccante;5.97;6.26;11.0;19
Caprile;Cagliari;Portiere;6.38;5.5;10.0;8
Caputo;Empoli;Attaccante;0.0;0.0;;0
Caqueret;Como;Centrocampista;5.67;5.5;8.0;3
Carboni A.;Monza;Difensore;5.56;5.56;4.0;18
Carboni F.;Venezia;Difensore;5.83;5.67;2.0;3
Carlos Augusto;Inter;Difensore;6.13;6.6;16.0;15
Carnesecchi;Atalanta;Portiere;6.36;5.17;14.0;21
Casadei;Torino;Centrocampista;0.0;0.0;10.0;0
Casale;Bologna;Difensore;5.57;5.29;1.0;7
Cassa;Atalanta;Centrocampista;0.0;0.0;1.0;0
Cassandro;Como;Difensore;0.0;0.0;;0
Castellanos;Lazio;Attaccante;6.32;7.25;25.0;20
Castro S.;Bologna;Attaccante;6.29;7.0;22.0;21
Castrovilli;Monza;Centrocampista;5.75;5.75;2.0;4
Cataldi;Fiorentina;Centrocampista;6.04;6.73;11.0;13
Ceccherini;Verona;Difensore;0.0;0.0;;0
Celik;Roma;Difensore;5.68;5.68;5.0;19
Cerri;Como;Attaccante;5.17;5.17;;3
Charpentier;Parma;Attaccante;6.17;6.67;9.0;9
Cheddira;Napoli;Attaccante;0.0;0.0;;0
Chichizola;Parma;Portiere;5.0;2.0;;1
Chiesa;Juventus;Attaccante;0.0;0.0;;0
Chiorra;Empoli;Portiere;0.0;0.0;;0
Christensen O.;Fiorentina;Portiere;0.0;0.0;;0
Chukwueze;Milan;Centrocampista;5.88;6.38;9.0;12
Ciocci;Cagliari;Portiere;0.0;0.0;1.0;0
Circati;Parma;Difensore;5.75;5.62;1.0;4
Cisse' A.;Verona;Centrocampista;0.0;0.0;1.0;0
Ciurria;Monza;Centrocampista;5.93;6.43;9.0;7
Coco;Torino;Difensore;5.83;5.86;8.0;21
Colombo;Empoli;Attaccante;6.0;6.73;17.0;22
Colpani;Fiorentina;Centrocampista;5.83;6.1;11.0;21
Coman F.;Cagliari;Attaccante;0.0;0.0;8.0;0
